Sampling date	Depth water [m]	CSC flag	Sal	Temp [°C]	[HCO3]- [µmol/kg]	[CO3]2- [µmol/kg]	pH	AT [µmol/kg]	DIC [µmol/kg]	Omega Cal	Omega Arg	pCO2water_SST_wet [µatm]	fCO2water_SST_wet [µatm]
2009-03-03T00:00:00	1	15	37.92000	13.5900	2019.5	210.8		2542.5	2243.1	4.9	3.2	334.1	332.9
2009-03-03T00:00:00	50	15	38.03000	13.6100	2028.3	211.3		2552.6	2252.5	4.9	3.1	336.8	335.5
2009-03-10T00:00:00	1	15	37.99000	13.7100	2026.3	212.3		2552.6	2251.4	5.0	3.2	336.3	335.0
2009-03-10T00:00:00	50	15	38.00000	13.7200	2032.9	210.3		2554.7	2256.3	4.9	3.1	341.3	340.0
2009-03-17T00:00:00	1	15	37.95333	14.1000	2021.4	214.1		2552.0	2248.2	5.0	3.2	337.5	336.3
2009-03-17T00:00:00	50	15	38.02000	13.8900	2024.7	212.7		2552.1	2250.1	4.9	3.2	337.6	336.4
2009-03-23T00:00:00	1	15	38.01000	13.9700	2020.6	215.6		2554.9	2248.8	5.0	3.2	333.3	332.1
2009-03-23T00:00:00	50	15	38.03000	13.8400	2023.5	213.4		2552.7	2249.6	4.9	3.2	335.3	334.1
2009-03-31T00:00:00	1	15	38.00000	13.8000	2013.4	215.4		2547.7	2241.3	5.0	3.2	328.6	327.4
2009-03-31T00:00:00	50	15	38.00000	13.8000	2028.2	209.8		2548.6	2251.0	4.9	3.1	341.8	340.6
2009-04-07T00:00:00	1	15	37.59000	15.1500	2010.0	215.6		2543.3	2238.2	5.0	3.3	344.9	343.7
2009-04-07T00:00:00	50	15	37.95000	13.9500	2022.3	211.5		2547.0	2246.6	4.9	3.1	339.0	337.8
2009-04-14T00:00:00	1												
2009-04-14T00:00:00	50												
2009-04-21T00:00:00	1												
2009-04-21T00:00:00	50												
2009-04-28T00:00:00	1												
2009-04-28T00:00:00	50												
